Year,Lower_EPRI,Moderate_EPRI,High_EPRI,Upper_EPRI,Lower_LBNL,Upper_LBNL
2023,155.76923,155.76923,155.76923,155.76923,175.562005534633,175.562005534633
2024,161.548268433,163.5576915,171.346153,179.1346145,182.942517169002,230.490044044262
2025,167.541709191864,171.735576075,188.4807683,206.004806675,200.519669724357,302.594218298833
2026,173.757506602882,180.32235487875,207.32884513,236.90552767625,238.082328600985,386.828024616725
2027,180.203910097849,189.338472622688,228.061729643,272.441356827687,278.916203256947,478.696920656496
2028,186.88947516248,198.805396253822,250.8679026073,313.307560351841,325,580
2029,193.823074691008,208.745666066513,275.95469286803,360.303694404617,367.25,736.6
2030,201.013910762044,219.182949369839,303.550162154833,414.349248565309,414.99,935.48
