Categories,NC,CD,ZC50,Avg
Brown,151.64828057128,121.128803664369,116.652523516369,129.809869250673
Current,137.25,103.45,105.57,115.42
Green,118.06188495634,84.0257096898635,90.8168345817999,97.6348097426678
